sceneNumber, candidateName, rule, contextSnippet
2,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Freeze! FBI!"
2,THE SUSPECT'S HANDS,SPEAKER_ABOVE_DIALOGUE,"THE SUSPECT'S HANDS / are taped to his gun, away from the trigger; he couldn't use"
2,THE,SPEAKER_ABOVE_DIALOGUE,"THE ""HOSTAGE"" / pulls a revolver out from behind her back, still in SLOW"
2,PULLING BACK,SPEAKER_ABOVE_DIALOGUE,"PULLING BACK / we see that we're in some sort of auditorium, with the ""hotel"
2,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / Damn, Clarice, how'd you make me?"
2,BRIGHAM,SPEAKER_ABOVE_DIALOGUE,"BRIGHAM / What're you laughin' at, Junior G-"
2,SPECIAL AGENT JACK CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"SPECIAL AGENT JACK CRAWFORD / sits on the top step of the aisle, looking down at her. He"
3,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Starling, Clarice M., good morning."
3,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Good morning, Mr. Crawford."
4,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / You know, we get a lot of detectives"
4,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I'm sure it's a great town, Dr."
5,CLANGS,SPEAKER_ABOVE_DIALOGUE,"Clarice flinches as a heavy steel gate CLANGS shut behind / her, the bolt shooting home. Chilton walks ahead of her."
5,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / How do you mean, Dr. Chilton?"
5,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / A pretty young woman, to turn him"
6,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / Do not reach through the bars, do"
6,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I understand."
6,BARNEY,SPEAKER_ABOVE_DIALOGUE,"BARNEY / Hi, I'm Barney. He told you, don't"
7,DARK FIGURE,SPEAKER_ABOVE_DIALOGUE,"DARK FIGURE / I c-can sssmell your cunt!"
7,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Dr. Lecter... My name is Clarice"
7,MIGG'S CELL,SPEAKER_ABOVE_DIALOGUE,"MIGG'S CELL / She sees that creature at his bars again, hissing at her."
7,MIGGS,SPEAKER_ABOVE_DIALOGUE,"MIGGS / I b-bit my wrist so I c-can diiiieeee!"
8,THE YOUNG CLARICE,SPEAKER_ABOVE_DIALOGUE,"THE YOUNG CLARICE / rushes into them, and he sweeps her up in a hug, spinning"
8,THE ADULT CLARICE,SPEAKER_ABOVE_DIALOGUE,"THE ADULT CLARICE / alone in the parking lot, sagging against her car. Her face"
10,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / Phone call, Clarice. It's God."
10,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Thanks, Ardelia."
11,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / I've read your interim memo on Lecter."
11,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / It's all there, sir, practically"
12,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / I'll take over, Patricia. You get"
12,BELLA CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"BELLA CRAWFORD / who lies in an elevated hospital bed. Nearby are an oxygen"
14,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I won't disturb anything, Mr. Yow, I"
16,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Mr. Yow, if this door should fall"
17,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Okay, Mr. Yow..."
17,THE CAR,SPEAKER_ABOVE_DIALOGUE,"THE CAR / is an antique beauty, a 1931 Packard. It's very dusty, despite"
19,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Hester Mofet... ""The rest of me."""
20,CATHERINE,SPEAKER_ABOVE_DIALOGUE,"CATHERINE / This stuff's givin' me the munchies."
20,CODY,SPEAKER_ABOVE_DIALOGUE,"CODY / Shit. Left the groceries in the car."
21,CATHERINE,SPEAKER_ABOVE_DIALOGUE,"CATHERINE / Help you with that?"
21,MAN,SPEAKER_ABOVE_DIALOGUE,"MAN / Would you? Thanks."
22,MAN,SPEAKER_ABOVE_DIALOGUE,"MAN / Are you about a size 14?"
22,CATHERINE,SPEAKER_ABOVE_DIALOGUE,"CATHERINE / (surprised)"
24,BRIGHAM,SPEAKER_ABOVE_DIALOGUE,"BRIGHAM / Clarice Starling! Are you in here?"
25,BRIGHAM,SPEAKER_ABOVE_DIALOGUE,"BRIGHAM / Get your field gear, take stuff for"
25,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Where?"
26,BRIGHAM,SPEAKER_ABOVE_DIALOGUE,"BRIGHAM / Jack's pretty tough on you, isn't"
26,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Sometimes."
27,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Why, we don't yet know... There's no"
28,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Talk about him, Starling. Tell me"
28,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / (choosing her words"
29,COUNTRY PEOPLE,SPEAKER_ABOVE_DIALOGUE,"COUNTRY PEOPLE / in their somber best, filing into the mortuary for a service."
29,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / We're around back."
30,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Sheriff Perkins? Jack Crawford, FBI..."
30,SHERIFF,SPEAKER_ABOVE_DIALOGUE,"SHERIFF / (grim, unsociable)"
30,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / burning at this slight, is left alone with the troopers, who"
31,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / I need a six-way linkup! Chicago,"
31,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / is pulling on a pair of surgical gloves. She raises her voice,"
31,FAVORING CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"FAVORING CRAWFORD / as he looks at Clarice with a new degree of respect. Men"
31,LAMAR,SPEAKER_ABOVE_DIALOGUE,"LAMAR / Right... Are you from around here?"
32,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Thanks, I'm not thirsty."
32,LAMAR,SPEAKER_ABOVE_DIALOGUE,"LAMAR / No, hold it under your chin, there,"
32,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / (beat)"
33,CATHERINE MARTIN,SPEAKER_ABOVE_DIALOGUE,"CATHERINE MARTIN / looks up at him. She is standing on the cement bottom of the"
33,CATHERINE,SPEAKER_ABOVE_DIALOGUE,"CATHERINE / Mister... my family will pay cash."
33,BLOODY FINGER TRACKS,SPEAKER_ABOVE_DIALOGUE,"BLOODY FINGER TRACKS / dried now, brownish - left by many pairs of frenzied hands..."
34,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / You better come see this."
35,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / looks at Ardelia, surprised. Other trainees are drifting"
35,TV ANCHOR,SPEAKER_ABOVE_DIALOGUE,"TV ANCHOR / ...to its highest levels, the"
35,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / Why does she keep repeating the name?"
35,NEW FOOTAGE,SPEAKER_ABOVE_DIALOGUE,"NEW FOOTAGE / as we see (NIGHT, TELEPHOTO) - a taped-off section of"
38,RODEN,SPEAKER_ABOVE_DIALOGUE,"RODEN / Tough noogies! It's still my turn."
38,PILCHER,SPEAKER_ABOVE_DIALOGUE,"PILCHER / (grins)"
39,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / You really don't want to know."
39,PILCHER,SPEAKER_ABOVE_DIALOGUE,"PILCHER / Just ignore him. He's not a Ph.D."
40,THE TWO MEN,SPEAKER_ABOVE_DIALOGUE,"THE TWO MEN / are hunched over a formica table, peering through square"
40,PILCHER,SPEAKER_ABOVE_DIALOGUE,"PILCHER / (without looking up)"
40,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I try to be a student, Dr. Pilcher."
40,RODEN,SPEAKER_ABOVE_DIALOGUE,"RODEN / Positive match!"
40,FAVORING CLARICE,SPEAKER_ABOVE_DIALOGUE,"FAVORING CLARICE / as she looks up at him, awed, excited, almost trembling."
42,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / But for Catherine Martin, it all"
42,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / He's already offered to help... What"
43,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / What you're doing, Miss Starling, is"
43,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Dr. Chilton, I told you - this is"
44,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I was your choice, Dr. Lecter. You"
45,PULLING BACK,SPEAKER_ABOVE_DIALOGUE,"PULLING BACK / we see a big wire cage, holding several of the moths. They"
47,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / Such a lot of correspondence! I can"
47,FAVORING CHILTON,SPEAKER_ABOVE_DIALOGUE,"FAVORING CHILTON / as he sits chummily on the table."
48,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Dr. Danielson, the man we want was"
48,BURROUGHS,SPEAKER_ABOVE_DIALOGUE,"BURROUGHS / Phone, Jack. Director Burke."
49,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / (on phone; stunned)"
50,DIRECTOR BURKE,SPEAKER_ABOVE_DIALOGUE,"DIRECTOR BURKE / (on phone)"
51,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / (into phone)"
52,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Chilton has killed her, hasn't he?"
52,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Let's get some coffee and talk."
53,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Are you in trouble over this, Mr."
53,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / I'm 53, Starling. If I found Jimmy"
54,BOYLE,SPEAKER_ABOVE_DIALOGUE,"BOYLE / Welcome to Memphis, Dr. Lecter. I'm"
54,PEMBRY,SPEAKER_ABOVE_DIALOGUE,"PEMBRY / But we ain't pussy-footin' with you,"
54,TWO BLACK STRETCH LIMOUSINES,SPEAKER_ABOVE_DIALOGUE,"TWO BLACK STRETCH LIMOUSINES / glide smoothly into the hangar, stop. Secret Service agents"
54,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / Senator Martin, meet Dr. Hannibal"
54,KRENDLER,SPEAKER_ABOVE_DIALOGUE,"KRENDLER / We need his address, a physical descr-"
55,CATHERINE,SPEAKER_ABOVE_DIALOGUE,"CATHERINE / is hunched over in concentration. The plastic toilet bucket"
55,SHE STANDS,SPEAKER_ABOVE_DIALOGUE,"SHE STANDS / gathers the coiled string in one hand, and swings the bucket"
55,THE BUCKET LANDS,SPEAKER_ABOVE_DIALOGUE,"THE BUCKET LANDS / two feet beyond the pit's edge, rolls a bit, stops."
55,PRECIOUS TROTS UP,SPEAKER_ABOVE_DIALOGUE,"PRECIOUS TROTS UP / then pauses, staring curiously towards..."
55,PRECIOUS,SPEAKER_ABOVE_DIALOGUE,"PRECIOUS / edges reluctantly closer... then suddenly rushes in, seizing"
55,THE LITTLE DOG,SPEAKER_ABOVE_DIALOGUE,"THE LITTLE DOG / furious, BARKS down at her, then trots away in disgust."
61,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I'm Clarice Starling, Senator. FBI."
61,KRENDLER,SPEAKER_ABOVE_DIALOGUE,"KRENDLER / You're out of line, Starling, and"
63,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I just left him."
64,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / (beat)"
65,PEMBRY,SPEAKER_ABOVE_DIALOGUE,"PEMBRY / You know the rules, ma'am?"
65,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Yes, Officer Pembry. I've questioned"
65,INSIDE THE CAGE,SPEAKER_ABOVE_DIALOGUE,"INSIDE THE CAGE / a cot and a small table, each bolted to the floor, and a"
65,THE CHILD RISES,SPEAKER_ABOVE_DIALOGUE,"THE CHILD RISES / crosses to the window in her nightgown, rubs the glass."
65,THE LITTLE GIRL,SPEAKER_ABOVE_DIALOGUE,"THE LITTLE GIRL / is terrified; she covers her ears."
65,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / Out. Let's go."
66,FOREMAN,SPEAKER_ABOVE_DIALOGUE,"FOREMAN / Hello, dear! Punctual as always. And"
68,PEMBRY,SPEAKER_ABOVE_DIALOGUE,"PEMBRY / (shouts)"
68,BOYLE,SPEAKER_ABOVE_DIALOGUE,"BOYLE / (laughs)"
68,INSIDE THE SCREEN,SPEAKER_ABOVE_DIALOGUE,"INSIDE THE SCREEN / Dr. Lecter sits fully clothed on the toilet - swaying"
68,OUTSIDE THE CELL,SPEAKER_ABOVE_DIALOGUE,"OUTSIDE THE CELL / Pembry and Boyle turn as the toilet FLUSHES, and Dr. Lecter"
68,BOYLE'S RIGHT HAND,SPEAKER_ABOVE_DIALOGUE,"BOYLE'S RIGHT HAND / is just inches from the tray when Dr. Lecter's hand darts"
68,THE OTHER CUFF,SPEAKER_ABOVE_DIALOGUE,"THE OTHER CUFF / around the bolted leg of the table. And suddenly all natural"
69,THE BRONZE ARROW,SPEAKER_ABOVE_DIALOGUE,"THE BRONZE ARROW / has begun to descend. Down to 4, then past 4..."
72,JACOBS,SPEAKER_ABOVE_DIALOGUE,"JACOBS / Boyle is dead, Sarge. His gun's"
72,MURRAY,SPEAKER_ABOVE_DIALOGUE,"MURRAY / This one's alive!"
73,VARIOUS ANGLES,SPEAKER_ABOVE_DIALOGUE,"VARIOUS ANGLES on a floodlit scene of barely controlled / pandemonium. Flashing red lights, men shouting commands,"
74,MURRAY,SPEAKER_ABOVE_DIALOGUE,"MURRAY / You're just fine, Pembry, lookin'"
74,ORDERLY,SPEAKER_ABOVE_DIALOGUE,"ORDERLY / Downstairs - let's go!"
77,PETERSON,SPEAKER_ABOVE_DIALOGUE,"PETERSON / whispers into a radio, as Kubell carefully tips an assault"
77,RADIO VOICE,SPEAKER_ABOVE_DIALOGUE,"RADIO VOICE / Can you get the drop?"
78,SWAT COMMANDER,SPEAKER_ABOVE_DIALOGUE,"SWAT COMMANDER / (into radio mike)"
78,PETERSON'S VOICE,SPEAKER_ABOVE_DIALOGUE,"PETERSON'S VOICE / Got it."
79,ATTENDANT,SPEAKER_ABOVE_DIALOGUE,"ATTENDANT / (into radio mike)"
79,THE POCKETKNIFE BLADE,SPEAKER_ABOVE_DIALOGUE,"THE POCKETKNIFE BLADE / in Lecter's fist, flashes high in the air..."
80,BIG GREEN INTERSTATE SIGN,SPEAKER_ABOVE_DIALOGUE,"BIG GREEN INTERSTATE SIGN / ...that reads ""Memphis International Airport / 2 miles."""
87,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / No. He won't come after me."
87,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / Why not?"
88,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / (surprised)"
88,INSERT,SPEAKER_ABOVE_DIALOGUE,"INSERT - THE MAP / with newly inked words in Dr. Lecter's precise, elegant hand."
88,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / ""Desperately random."" What does he"
89,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Maybe he lives in this, this"
89,KRENDLER,SPEAKER_ABOVE_DIALOGUE,"KRENDLER / - a U.S. Senator who's half out of"
89,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / If you hadn't interfered, he'd still"
89,BURKE,SPEAKER_ABOVE_DIALOGUE,"BURKE / THAT'S ENOUGH! All of you..."
90,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / All his victims are women... His"
90,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / You heard them. I don't have that"
91,CATHERINE,SPEAKER_ABOVE_DIALOGUE,"CATHERINE / Get me a telephone. Lower it down to"
93,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / approaches him, and the man lowers his hammer. He has red-"
95,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / turns, absorbing nuances. There is loneliness here, an echo"
95,BIG TORTOISESHELL CAT,SPEAKER_ABOVE_DIALOGUE,"BIG TORTOISESHELL CAT / is rubbing against her ankles."
95,THE DRESS,SPEAKER_ABOVE_DIALOGUE,"THE DRESS / is very big, to fit Fredrica, but beautifully cut. Some of"
95,FAVORING THE SEWING MACHINE,SPEAKER_ABOVE_DIALOGUE,"FAVORING THE SEWING MACHINE / as Clarice turns, looks towards it. She hangs the dress on"
96,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / (into phone)"
97,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / (into speaker phone)"
97,INTERCUTTING,SPEAKER_ABOVE_DIALOGUE,"INTERCUTTING / as Clarice reacts; her happiness for Crawford is tinged with"
97,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / (on phone)"
97,LAX,SPEAKER_ABOVE_DIALOGUE,"two years ago at LAX - live / caterpillars from Surinam. The"
98,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / somewhat embarrassed, crosses over to him."
100,STACY,SPEAKER_ABOVE_DIALOGUE,"STACY / They said she was just rags, like"
100,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Stacy, did Fredrica ever mention a"
109,THE,SPEAKER_ABOVE_DIALOGUE,"THE ""DELIVERYMAN"" / settles the floral box in the crook of his left arm, reaches"
110,DUSTY BLACK METAL BOX,SPEAKER_ABOVE_DIALOGUE,"DUSTY BLACK METAL BOX / the extension buzzer, mounted high on the wall, which is"
111,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Good afternoon... I wonder if you"
113,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Excuse me, but I really do need to"
115,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Mr. Gordon, did you know Fredrica"
117,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Thanks."
118,WE PICK OUT CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"WE PICK OUT CRAWFORD / walking across the grass towards the van, when all at once"
118,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Clarice."
119,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I think we may be, yes."
120,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / rushes to this - pauses - then elbows the door aside, aiming"
121,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / follows her gun around the corner, looking right."
121,EMPTY PASSAGEWAY,SPEAKER_ABOVE_DIALOGUE,"EMPTY PASSAGEWAY / but doors opening off it - he could be lurking behind any of"
122,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / kneels, staring up from one door to another, she can't cover"
122,CATHERINE,SPEAKER_ABOVE_DIALOGUE,"CATHERINE / Safe, SHIT, he's got a gun! Getmeout."
124,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / spins, almost shoots, before seeing -"
127,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / centers her gun on the curtain, at chest height, and yanks"
128,SLOW MOTION,SPEAKER_ABOVE_DIALOGUE,"the Colt Python as - in SLOW MOTION - his thumbs cock the / hammer, the SOUND registering as a LOUD METALLIC CLICK, and -"
128,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / spins, still in SLOW MOTION, flame already leaping from her"
128,THE TWO FIGURES,SPEAKER_ABOVE_DIALOGUE,"THE TWO FIGURES / almost at point-black range, guns ROARING hugely, one FLASH"
129,EMS,SPEAKER_ABOVE_DIALOGUE,"EMS workers and curious civilians swarm around the ineffective / barricades. The BUZZ of their voices goes even higher as"
129,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / dazed, her face bandaged - comes out of the house, walking"
129,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Starling... your father sees you."
130,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / who smiles back at her with quiet pride, and offers a little"
130,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / grins - more happy than we've ever seen her - then turns to"
131,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / Agent Starling! Telephone!"
131,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / (surprised)"
131,RODEN,SPEAKER_ABOVE_DIALOGUE,"RODEN / Hel-lo, gorgeous! Let's get down."
131,PILCHER,SPEAKER_ABOVE_DIALOGUE,"PILCHER / Just ignore him. He's not a Ph.D."
132,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Starling."
132,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / who is just inside the rec room door, at the end of the hall,"
133,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Dr. Lecter -"
134,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Dr. Lecter... Dr. Lecter...!"
